date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:29:09	224493/224493	---M-Z	200	added ('OK')	text/html	etag:%2236ced-655ba786-b8c130ddd77b848c;gz%22	https://themephi.net/template/eduan/eduan/index-5.html	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/index-5.html	(from )
16:29:10	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-643588fe-94379252210f35ce;gz%22	https://themephi.net/robots.txt		(from )
16:29:10	2065/2065	---M--	200	added ('OK')	image/png	etag:%22811-655ba786-ef130b38e751c355;;;%22	https://themephi.net/template/eduan/eduan/assets/img/favicon.png	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/img/favicon.png	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:10	68606/68606	---M-Z	200	added ('OK')	text/css	etag:%2210bfe-655ba786-148eac66a73a79b3;gz%22	https://themephi.net/template/eduan/eduan/assets/css/animate.min.css	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/css/animate.min.css	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:10	194901/194901	---M-Z	200	added ('OK')	text/css	etag:%222f955-655ba786-37def33557796465;gz%22	https://themephi.net/template/eduan/eduan/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/css/bootstrap.min.css	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:11	7302/7302	---M-Z	200	added ('OK')	text/css	etag:%221c86-655ba786-7860f95c7f532ef4;gz%22	https://themephi.net/template/eduan/eduan/assets/css/magnific-popup.css	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/css/magnific-popup.css	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:12	3830/3830	---M-Z	200	added ('OK')	text/css	etag:%22ef6-655ba786-7369921b14673018;gz%22	https://themephi.net/template/eduan/eduan/assets/css/odometer.min.css	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/css/odometer.min.css	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:12	504943/504943	---M-Z	200	added ('OK')	text/css	etag:%227b46f-655ba786-db0b6a5fc013b959;gz%22	https://themephi.net/template/eduan/eduan/assets/css/fontawesome-all.min.css	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/css/fontawesome-all.min.css	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:12	4145/4145	---M-Z	200	added ('OK')	text/css	etag:%221031-655ba786-d1c42574c5e4fabc;gz%22	https://themephi.net/template/eduan/eduan/assets/css/nice-select.css	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/css/nice-select.css	(from https://themephi.net/template/eduan/eduan/index-5.html)
16:29:12	3644/3644	---M-Z	200	added ('OK')	text/css	etag:%22e3c-655ba786-f6a6e4d8e6846a0d;gz%22	https://themephi.net/template/eduan/eduan/assets/css/meanmenu.css	C:/My%20Web%20Sites/education/themephi.net/template/eduan/eduan/assets/css/meanmenu.css	(from https://themephi.net/template/eduan/eduan/index-5.html)
